,Type,Ratio,Times,gid,k,Number of CPU Cores,Memory Constraints,Isolation Level
137,ICRB,0.7132,22.0,3,6,4,0.95,3
138,STO,0.9405,14.0,3,6,4,0.95,3
139,Rand,0.8821,37.0,3,6,4,0.95,3
140,CPF,0.7055,18.0,3,7,4,0.85,3
141,ICRB,0.7492,24.0,3,7,4,0.85,3
142,STO,0.8014,13.0,3,7,4,0.85,3
143,Rand,0.9812,36.0,3,7,4,0.85,3
144,CPF,0.682,18.0,3,8,4,0.8,3
145,ICRB,0.6884,22.0,3,8,4,0.8,3
146,STO,0.8351,14.0,3,8,4,0.8,3
147,Rand,0.9053,37.0,3,8,4,0.8,3
148,CPF,0.8604,18.0,3,9,4,0.75,3
149,ICRB,0.7278,24.0,3,9,4,0.75,3
150,STO,0.8644,15.0,3,9,4,0.75,3
151,Rand,0.7691,33.0,3,9,4,0.75,3
152,CPF,0.883,17.0,3,10,4,0.9,1.5
153,ICRB,0.7976,21.0,3,10,4,0.9,1.5
154,STO,0.9282,20.0,3,10,4,0.9,1.5
155,Rand,0.9478,36.0,3,10,4,0.9,1.5
156,CPF,0.6416,16.0,3,11,4,0.9,5
157,ICRB,0.7258,26.0,3,11,4,0.9,5
158,STO,0.7548,12.0,3,11,4,0.9,5
159,Rand,0.9393,33.0,3,11,4,0.9,5
160,CPF,0.6629,14.0,3,12,4,0.9,7.5
161,ICRB,0.7893,20.0,3,12,4,0.9,7.5
162,STO,0.7559,10.0,3,12,4,0.9,7.5
163,Rand,0.8421,31.0,3,12,4,0.9,7.5
164,CPF,0.5417,15.0,3,13,4,0.9,10.5
165,ICRB,0.6132,19.0,3,13,4,0.9,10.5
166,STO,0.6425,10.0,3,13,4,0.9,10.5
167,Rand,0.9187,34.0,3,13,4,0.9,10.5
168,CPF,0.6979,10.0,4,0,2,0.9,3
169,ICRB,0.6358,15.0,4,0,2,0.9,3
170,STO,0.9006,7.0,4,0,2,0.9,3
171,Rand,0.9011,15.0,4,0,2,0.9,3
172,CPF,0.5807,11.0,4,1,3,0.9,3
173,ICRB,0.5427,14.0,4,1,3,0.9,3
174,STO,0.7764,6.0,4,1,3,0.9,3
175,Rand,0.835,14.0,4,1,3,0.9,3
176,CPF,0.6694,11.0,4,2,4,0.9,3
177,ICRB,0.626,15.0,4,2,4,0.9,3
178,STO,0.7872,8.0,4,2,4,0.9,3
179,Rand,0.7539,15.0,4,2,4,0.9,3
180,CPF,0.5559,10.0,4,3,5,0.9,3
181,ICRB,0.6766,12.0,4,3,5,0.9,3
182,STO,0.7572,7.0,4,3,5,0.9,3
183,Rand,0.9311,16.0,4,3,5,0.9,3
184,CPF,0.6949,10.0,4,4,6,0.9,3
185,ICRB,0.5392,10.0,4,4,6,0.9,3
186,STO,0.7665,9.0,4,4,6,0.9,3
187,Rand,0.8751,18.0,4,4,6,0.9,3
188,CPF,0.6181,8.0,4,5,4,1.0,3
