Type,Total Pct.,Calculation Pct.,EDER,DOR,gid,Case,Number of CPU Cores,Memory Constraints,Isolation Level,Lower Bound,Upper Bound
ICRB,0.3903,0.3053,0.5644,0.5556,1,7,4,0.85,3,120.68685224393825,148.60925885202738
STO,0.3987,0.2945,0.7434,0.1111,1,7,4,0.85,3,120.68685224393825,148.60925885202738
Rand,0.3827,0.2872,0.8709,0.6667,1,7,4,0.85,3,120.68685224393825,148.60925885202738
CPF,0.3429,0.2755,0.6195,0.5556,1,7,4,0.85,3,141.87004420539387,166.66716559402838
ICRB,0.3462,0.2805,0.5068,0.6667,1,7,4,0.85,3,141.87004420539387,166.66716559402838
STO,0.3447,0.2666,0.8304,0.1111,1,7,4,0.85,3,141.87004420539387,166.66716559402838
Rand,0.3471,0.2599,1.0,0.5556,1,7,4,0.85,3,141.87004420539387,166.66716559402838
CPF,0.3106,0.2267,0.6506,0.2222,1,8,4,0.8,3,137.0635139428243,175.33969130628392
ICRB,0.3071,0.2311,0.5706,0.4444,1,8,4,0.8,3,137.0635139428243,175.33969130628392
STO,0.3094,0.2221,0.7373,0.2222,1,8,4,0.8,3,137.0635139428243,175.33969130628392
Rand,0.3047,0.2094,1.0,0.5556,1,8,4,0.8,3,137.0635139428243,175.33969130628392
CPF,0.3413,0.2824,0.3312,0.2222,1,8,4,0.8,3,139.73319513386062,161.6020632163921
ICRB,0.3366,0.2816,0.3511,0.4444,1,8,4,0.8,3,139.73319513386062,161.6020632163921
STO,0.3444,0.2666,0.7297,0.1111,1,8,4,0.8,3,139.73319513386062,161.6020632163921
Rand,0.3415,0.2693,0.6593,0.4444,1,8,4,0.8,3,139.73319513386062,161.6020632163921
CPF,0.3413,0.2747,0.5388,0.2222,1,8,4,0.8,3,155.5815157852049,187.2721786627289
ICRB,0.3335,0.2625,0.7915,0.5556,1,8,4,0.8,3,155.5815157852049,187.2721786627289
STO,0.3464,0.2747,0.5388,0.2222,1,8,4,0.8,3,155.5815157852049,187.2721786627289
Rand,0.3392,0.2655,0.7263,0.5556,1,8,4,0.8,3,155.5815157852049,187.2721786627289
CPF,0.27,0.2055,0.5576,0.2222,1,9,4,0.75,3,168.8964311841725,211.5583369789889
ICRB,0.2708,0.2139,0.3816,0.7778,1,9,4,0.75,3,168.8964311841725,211.5583369789889
STO,0.2687,0.1919,0.8776,0.2222,1,9,4,0.75,3,168.8964311841725,211.5583369789889
Rand,0.2694,0.1995,0.693,0.7778,1,9,4,0.75,3,168.8964311841725,211.5583369789889
CPF,0.25,0.2018,0.6262,0.6667,1,9,4,0.75,3,207.3957354603223,241.83457830181402
ICRB,0.25,0.2087,0.4064,0.7778,1,9,4,0.75,3,207.3957354603223,241.83457830181402
STO,0.25,0.1971,0.7825,0.1111,1,9,4,0.75,3,207.3957354603223,241.83457830181402
Rand,0.25,0.1964,0.8068,1.0,1,9,4,0.75,3,207.3957354603223,241.83457830181402
CPF,0.2768,0.2231,0.5467,0.2222,1,9,4,0.75,3,174.44332546274515,210.67697350711978
ICRB,0.2773,0.2281,0.43,0.8889,1,9,4,0.75,3,174.44332546274515,210.67697350711978
STO,0.2819,0.212,0.8266,0.1111,1,9,4,0.75,3,174.44332546274515,210.67697350711978
Rand,0.2825,0.2159,0.7268,0.8889,1,9,4,0.75,3,174.44332546274515,210.67697350711978
CPF,0.3288,0.2465,0.7679,0.25,1,10,4,0.9,1.5,147.17502863477506,182.6164665836409
ICRB,0.3326,0.2584,0.5425,0.75,1,10,4,0.9,1.5,147.17502863477506,182.6164665836409
STO,0.3312,0.2354,1.0,0.375,1,10,4,0.9,1.5,147.17502863477506,182.6164665836409
Rand,0.3354,0.2476,0.7468,0.875,1,10,4,0.9,1.5,147.17502863477506,182.6164665836409
CPF,0.3084,0.2214,0.8257,0.25,1,10,4,0.9,1.5,160.49117699780473,201.0453399528151
ICRB,0.3065,0.2385,0.4826,0.75,1,10,4,0.9,1.5,160.49117699780473,201.0453399528151
STO,0.3118,0.2227,0.7972,0.25,1,10,4,0.9,1.5,160.49117699780473,201.0453399528151
Rand,0.3093,0.2136,1.0,0.625,1,10,4,0.9,1.5,160.49117699780473,201.0453399528151
CPF,0.3434,0.2611,0.7494,0.625,1,10,4,0.9,1.5,136.86817469710854,163.02436942128548
ICRB,0.3436,0.274,0.4669,0.75,1,10,4,0.9,1.5,136.86817469710854,163.02436942128548
STO,0.352,0.2566,0.8528,0.125,1,10,4,0.9,1.5,136.86817469710854,163.02436942128548
Rand,0.3496,0.2506,1.0,1.0,1,10,4,0.9,1.5,136.86817469710854,163.02436942128548
CPF,0.3361,0.258,0.5217,0.1111,1,11,4,0.9,5,133.30646765812116,159.64290938364348
ICRB,0.3282,0.2572,0.5405,0.3333,1,11,4,0.9,5,133.30646765812116,159.64290938364348
STO,0.3354,0.2483,0.7412,0.1111,1,11,4,0.9,5,133.30646765812116,159.64290938364348
Rand,0.3329,0.2431,0.8655,0.4444,1,11,4,0.9,5,133.30646765812116,159.64290938364348
CPF,0.3536,0.2768,0.6506,0.5556,1,11,4,0.9,5,136.3374495875267,163.22421909063632
ICRB,0.3445,0.2666,0.8698,0.4444,1,11,4,0.9,5,136.3374495875267,163.22421909063632
STO,0.3631,0.2801,0.5825,0.1111,1,11,4,0.9,5,136.3374495875267,163.22421909063632
Rand,0.3528,0.2683,0.8317,0.3333,1,11,4,0.9,5,136.3374495875267,163.22421909063632
CPF,0.363,0.2872,0.5485,0.2222,1,11,4,0.9,5,133.63498465217342,157.77362756231503
