Type,Total Pct.,Calculation Pct.,EDER,DOR,Time,Sched Time,gid,Case,Scheduling Algorithm
STO,0.4522,0.2944,0.7365,0.125,0.0074388980865478516,0.0036096572875976562,1,1,HEFT
Rand,0.4394,0.2956,0.7139,0.625,0.007443666458129883,0.0036096572875976562,1,1,HEFT
CPF,0.4597,0.3107,0.4531,0.25,0.006796836853027344,0.004099130630493164,1,1,CPOP
ICRB,0.4537,0.2958,0.7205,0.25,0.0065953731536865234,0.004099130630493164,1,1,CPOP
STO,0.4534,0.2952,0.7325,0.125,0.006789684295654297,0.004099130630493164,1,1,CPOP
Rand,0.448,0.2818,1.0,0.5,0.006553173065185547,0.004099130630493164,1,1,CPOP
CPF,0.4835,0.3595,0.7159,0.375,0.006874561309814453,0.003550291061401367,1,1,HEFT
ICRB,0.4806,0.3527,0.8506,0.25,0.007843494415283203,0.003550291061401367,1,1,HEFT
STO,0.4712,0.3595,0.7159,0.0,0.006380558013916016,0.003550291061401367,1,1,HEFT
Rand,0.4771,0.3747,0.4334,0.375,0.005789518356323242,0.003550291061401367,1,1,HEFT
CPF,0.4835,0.3595,0.7159,0.375,0.006463766098022461,0.0037508010864257812,1,1,CPOP
ICRB,0.4806,0.3527,0.8506,0.25,0.0070989131927490234,0.0037508010864257812,1,1,CPOP
STO,0.4712,0.3595,0.7159,0.0,0.007655143737792969,0.0037508010864257812,1,1,CPOP
Rand,0.4883,0.3711,0.4983,0.75,0.006139278411865234,0.0037508010864257812,1,1,CPOP
CPF,0.4511,0.3226,0.7072,0.5,0.006795644760131836,0.003746509552001953,1,1,HEFT
ICRB,0.4543,0.3314,0.5546,0.375,0.008405685424804688,0.003746509552001953,1,1,HEFT
STO,0.4486,0.3159,0.8311,0.125,0.006272077560424805,0.003746509552001953,1,1,HEFT
Rand,0.4726,0.3209,0.7382,0.375,0.00596928596496582,0.003746509552001953,1,1,HEFT
CPF,0.4511,0.3226,0.7072,0.5,0.007184743881225586,0.004488706588745117,1,1,CPOP
ICRB,0.4543,0.3314,0.5546,0.375,0.0069427490234375,0.004488706588745117,1,1,CPOP
STO,0.4486,0.3159,0.8311,0.125,0.0067369937896728516,0.004488706588745117,1,1,CPOP
Rand,0.4726,0.3209,0.7382,0.625,0.006863117218017578,0.004488706588745117,1,1,CPOP
CPF,0.5109,0.3013,0.5033,0.375,0.007589101791381836,0.005030632019042969,1,1,HEFT
ICRB,0.5109,0.3013,0.5033,0.375,0.007448911666870117,0.005030632019042969,1,1,HEFT
STO,0.4904,0.2842,0.7394,0.25,0.007331132888793945,0.005030632019042969,1,1,HEFT
Rand,0.4853,0.2961,0.5725,0.625,0.008519649505615234,0.005030632019042969,1,1,HEFT
CPF,0.5218,0.3077,0.459,0.375,0.010708808898925781,0.004474639892578125,1,1,CPOP
ICRB,0.5218,0.3077,0.459,0.375,0.007107734680175781,0.004474639892578125,1,1,CPOP
STO,0.4904,0.2842,0.8053,0.25,0.0069005489349365234,0.004474639892578125,1,1,CPOP
Rand,0.5002,0.2726,1.0,0.625,0.0077702999114990234,0.004474639892578125,1,1,CPOP
CPF,0.5078,0.3557,0.4259,0.375,0.007754802703857422,0.004851818084716797,1,1,HEFT
ICRB,0.4995,0.3315,0.7338,0.25,0.007294654846191406,0.004851818084716797,1,1,HEFT
STO,0.5075,0.3551,0.4329,0.125,0.009650707244873047,0.004851818084716797,1,1,HEFT
Rand,0.4968,0.3333,0.7098,0.75,0.007197141647338867,0.004851818084716797,1,1,HEFT
CPF,0.5078,0.3557,0.4859,0.375,0.0066335201263427734,0.0036122798919677734,1,1,CPOP
ICRB,0.5135,0.3408,0.6963,0.25,0.007822751998901367,0.0036122798919677734,1,1,CPOP
STO,0.5075,0.3551,0.4939,0.125,0.006835222244262695,0.0036122798919677734,1,1,CPOP
Rand,0.5214,0.3557,0.4859,0.5,0.00591588020324707,0.0036122798919677734,1,1,CPOP
CPF,0.5368,0.3762,0.6003,0.25,0.006329774856567383,0.0035343170166015625,1,1,HEFT
ICRB,0.5255,0.3554,0.8457,0.375,0.007555484771728516,0.0035343170166015625,1,1,HEFT
STO,0.5396,0.3946,0.4039,0.125,0.0077152252197265625,0.0035343170166015625,1,1,HEFT
Rand,0.5191,0.3435,1.0,0.375,0.006006717681884766,0.0035343170166015625,1,1,HEFT
CPF,0.5582,0.3912,0.5237,0.125,0.006690263748168945,0.0038683414459228516,1,1,CPOP
ICRB,0.5453,0.3688,0.8162,0.375,0.006379365921020508,0.0038683414459228516,1,1,CPOP
STO,0.5396,0.3946,0.4814,0.125,0.006575584411621094,0.0038683414459228516,1,1,CPOP
Rand,0.5501,0.3771,0.7025,0.375,0.006648063659667969,0.0038683414459228516,1,1,CPOP
CPF,0.4335,0.3394,0.6181,0.25,0.00675654411315918,0.004141092300415039,1,1,HEFT
ICRB,0.4458,0.3327,0.8,0.375,0.0064983367919921875,0.004141092300415039,1,1,HEFT
STO,0.4418,0.3408,0.5819,0.125,0.006296634674072266,0.004141092300415039,1,1,HEFT
Rand,0.4434,0.3256,1.0,0.75,0.009438037872314453,0.004141092300415039,1,1,HEFT
CPF,0.4335,0.3394,0.6181,0.25,0.006361961364746094,0.003667116165161133,1,1,CPOP
ICRB,0.4458,0.3327,0.8,0.375,0.005887031555175781,0.003667116165161133,1,1,CPOP
STO,0.4418,0.3408,0.5819,0.125,0.005667448043823242,0.003667116165161133,1,1,CPOP
Rand,0.4369,0.3256,1.0,0.625,0.005910396575927734,0.003667116165161133,1,1,CPOP
CPF,0.5066,0.3874,0.4454,0.375,0.0060346126556396484,0.0034797191619873047,1,1,HEFT
ICRB,0.4871,0.3721,0.7175,0.75,0.005902290344238281,0.0034797191619873047,1,1,HEFT
STO,0.505,0.3876,0.442,0.125,0.0056002140045166016,0.0034797191619873047,1,1,HEFT
Rand,0.4981,0.3721,0.7175,0.875,0.00810861587524414,0.0034797191619873047,1,1,HEFT
CPF,0.5104,0.3903,0.4166,0.375,0.009546995162963867,0.00370025634765625,1,1,CPOP
ICRB,0.4871,0.3721,0.7548,0.75,0.007681369781494141,0.00370025634765625,1,1,CPOP
STO,0.505,0.3876,0.4649,0.125,0.006295919418334961,0.00370025634765625,1,1,CPOP
Rand,0.5143,0.3746,0.7065,0.625,0.0060274600982666016,0.00370025634765625,1,1,CPOP
CPF,0.4693,0.3142,0.5415,0.25,0.006484270095825195,0.003902912139892578,1,1,HEFT
ICRB,0.4619,0.2973,0.7659,0.25,0.00631403923034668,0.003902912139892578,1,1,HEFT
STO,0.4683,0.3121,0.5684,0.125,0.006123065948486328,0.003902912139892578,1,1,HEFT
Rand,0.4492,0.3092,0.605,0.375,0.006086111068725586,0.003902912139892578,1,1,HEFT
CPF,0.4908,0.3287,0.4453,0.25,0.00935506820678711,0.0038077831268310547,1,1,CPOP
ICRB,0.482,0.3102,0.7168,0.25,0.007004499435424805,0.0038077831268310547,1,1,CPOP
STO,0.4897,0.3263,0.4779,0.0,0.007501363754272461,0.0038077831268310547,1,1,CPOP
Rand,0.4816,0.3095,0.7285,0.5,0.006653547286987305,0.0038077831268310547,1,1,CPOP
