Type,Total Pct.,Calculation Pct.,EDER,DOR,Time,Heft Time,gid,Case
ICRB,0.374,0.2569,0.5384,0.4444,0.004778385162353516,0.0028858184814453125,1,2
STO,0.4016,0.2515,0.6449,0.4444,0.004611492156982422,0.0028858184814453125,1,2
Rand,0.3849,0.2409,0.8681,0.6667,0.004651308059692383,0.0028858184814453125,1,2
SFE,0.0,0.0,0.4319,0.3333,0.0,0.0,1,2
SFD,0.0,0.0,0.6449,0.2222,0.0,0.0,1,2
CPF,0.4031,0.2588,0.2894,0.4444,0.00515294075012207,0.003042936325073242,1,3
ICRB,0.3722,0.2405,0.5882,0.5556,0.004957914352416992,0.003042936325073242,1,3
STO,0.3871,0.251,0.4118,0.2222,0.004774808883666992,0.003042936325073242,1,3
Rand,0.3823,0.2191,1.0,0.5556,0.00484013557434082,0.003042936325073242,1,3
SFE,0.0,0.0,0.141,0.3333,0.0,0.0,1,3
SFD,0.0,0.0,0.4118,0.1111,0.0,0.0,1,3
CPF,0.3086,0.1863,0.4708,0.3333,0.006641864776611328,0.0044574737548828125,1,4
ICRB,0.2947,0.1817,0.5579,0.3333,0.006401777267456055,0.0044574737548828125,1,4
STO,0.3324,0.1756,0.6788,0.1111,0.0062255859375,0.0044574737548828125,1,4
Rand,0.3165,0.1684,0.8336,0.6667,0.006295442581176758,0.0044574737548828125,1,4
SFE,0.0,0.0,0.4421,0.3333,0.0,0.0,1,4
SFD,0.0,0.0,0.4708,0.0,0.0,0.0,1,4
CPF,0.4495,0.2568,0.7661,0.25,0.004945516586303711,0.0029010772705078125,1,5
ICRB,0.4257,0.2601,0.713,0.5,0.00477147102355957,0.0029010772705078125,1,5
STO,0.4364,0.2563,0.7758,0.25,0.004619598388671875,0.0029010772705078125,1,5
Rand,0.4267,0.2433,1.0,0.75,0.00463557243347168,0.0029010772705078125,1,5
SFE,0.0,0.0,0.3689,0.375,0.0,0.0,1,5
SFD,0.0,0.0,0.6028,0.0,0.0,0.0,1,5
CPF,0.397,0.2838,0.2348,0.4444,0.004964113235473633,0.0028905868530273438,1,6
ICRB,0.373,0.2664,0.5485,0.4444,0.00481414794921875,0.0028905868530273438,1,6
STO,0.379,0.2627,0.6201,0.2222,0.0046346187591552734,0.0028905868530273438,1,6
Rand,0.3986,0.2838,0.2348,0.2222,0.004670858383178711,0.0028905868530273438,1,6
SFE,0.0,0.0,0.2348,0.4444,0.0,0.0,1,6
SFD,0.0,0.0,0.3945,0.0,0.0,0.0,1,6
CPF,0.4796,0.3292,0.3391,0.2,0.004988908767700195,0.0029044151306152344,1,7
ICRB,0.4492,0.3216,0.4423,0.4,0.004818439483642578,0.0029044151306152344,1,7
STO,0.4761,0.312,0.5775,0.1,0.0046465396881103516,0.0029044151306152344,1,7
Rand,0.4203,0.2855,1.0,0.4,0.00469970703125,0.0029044151306152344,1,7
SFE,0.0,0.0,0.3391,0.2,0.0,0.0,1,7
SFD,0.0,0.0,0.3737,0.1,0.0,0.0,1,7
CPF,0.4559,0.3253,0.1776,0.2,0.0049059391021728516,0.0028858184814453125,1,8
ICRB,0.4559,0.3253,0.1776,0.2,0.0047452449798583984,0.0028858184814453125,1,8
STO,0.469,0.3237,0.1942,0.1,0.004589557647705078,0.0028858184814453125,1,8
Rand,0.4313,0.2694,0.8709,0.3,0.0046234130859375,0.0028858184814453125,1,8
SFE,0.0,0.0,0.0954,0.2,0.0,0.0,1,8
SFD,0.0,0.0,0.1942,0.1,0.0,0.0,1,8
CPF,0.7941,0.5401,0.5445,0.1111,0.00448918342590332,0.002528667449951172,1,0
ICRB,0.7868,0.5639,0.4009,0.6667,0.004369497299194336,0.002528667449951172,1,0
STO,0.7865,0.5245,0.6462,0.1111,0.0041980743408203125,0.002528667449951172,1,0
Rand,0.7954,0.5128,0.7263,0.8889,0.004239320755004883,0.002528667449951172,1,0
SFE,0.0,0.0,0.4009,0.6667,0.0,0.0,1,0
SFD,0.0,0.0,0.7077,0.1111,0.0,0.0,1,0
CPF,0.6207,0.4271,0.3048,0.3333,0.0047817230224609375,0.0027322769165039062,1,1
ICRB,0.5646,0.3907,0.7023,0.4444,0.004579067230224609,0.0027322769165039062,1,1
STO,0.6391,0.4099,0.4836,0.1111,0.004419803619384766,0.0027322769165039062,1,1
Rand,0.5895,0.3673,1.0,0.6667,0.004562854766845703,0.0027322769165039062,1,1
SFE,0.0,0.0,0.2977,0.2222,0.0,0.0,1,1
SFD,0.0,0.0,0.4836,0.1111,0.0,0.0,1,1
CPF,0.5322,0.3698,0.2527,0.4444,0.0049779415130615234,0.0029010772705078125,1,2
ICRB,0.4765,0.327,0.6977,0.5556,0.0048067569732666016,0.0029010772705078125,1,2
STO,0.543,0.3396,0.555,0.1111,0.004639148712158203,0.0029010772705078125,1,2
Rand,0.4992,0.3228,0.7473,0.6667,0.004694700241088867,0.0029010772705078125,1,2
SFE,0.0,0.0,0.2527,0.4444,0.0,0.0,1,2
SFD,0.0,0.0,0.362,0.0,0.0,0.0,1,2
CPF,0.3703,0.2463,0.4411,0.3333,0.005303144454956055,0.0032312870025634766,1,3
ICRB,0.358,0.2351,0.6005,0.4444,0.005132198333740234,0.0032312870025634766,1,3
STO,0.4044,0.245,0.4582,0.1111,0.005052089691162109,0.0032312870025634766,1,3
Rand,0.3875,0.2249,0.7602,0.5556,0.005066394805908203,0.0032312870025634766,1,3
SFE,0.0,0.0,0.2985,0.3333,0.0,0.0,1,3
SFD,0.0,0.0,0.4582,0.1111,0.0,0.0,1,3
CPF,0.3132,0.221,0.3667,0.1111,0.005293846130371094,0.003231525421142578,1,4
ICRB,0.3132,0.221,0.3667,0.1111,0.005151033401489258,0.003231525421142578,1,4
STO,0.3371,0.2096,0.5581,0.1111,0.005023479461669922,0.003231525421142578,1,4
Rand,0.3289,0.1941,0.8539,0.5556,0.005050182342529297,0.003231525421142578,1,4
SFE,0.0,0.0,0.3495,0.3333,0.0,0.0,1,4
SFD,0.0,0.0,0.6494,0.1111,0.0,0.0,1,4
CPF,0.4169,0.2502,0.5937,0.625,0.004961490631103516,0.002915620803833008,1,5
ICRB,0.3965,0.2365,0.8026,0.625,0.004793643951416016,0.002915620803833008,1,5
STO,0.4243,0.2502,0.5937,0.375,0.0046155452728271484,0.002915620803833008,1,5
Rand,0.4057,0.2363,0.8062,0.75,0.004650592803955078,0.002915620803833008,1,5
SFE,0.0,0.0,0.3864,0.375,0.0,0.0,1,5
SFD,0.0,0.0,0.5937,0.125,0.0,0.0,1,5
CPF,0.4108,0.2795,0.4693,0.3333,0.004864215850830078,0.0028831958770751953,1,6
ICRB,0.3919,0.2712,0.6119,0.6667,0.004694938659667969,0.0028831958770751953,1,6
STO,0.4338,0.2882,0.3288,0.1111,0.004530668258666992,0.0028831958770751953,1,6
Rand,0.394,0.2598,0.8225,0.5556,0.00460505485534668,0.0028831958770751953,1,6
SFE,0.0,0.0,0.3288,0.1111,0.0,0.0,1,6
SFD,0.0,0.0,0.4344,0.1111,0.0,0.0,1,6
CPF,0.4369,0.3147,0.0188,0.4,0.005010843276977539,0.0029070377349853516,1,7
ICRB,0.3778,0.2781,0.6621,0.3,0.0048143863677978516,0.0029070377349853516,1,7
STO,0.4149,0.2781,0.6621,0.1,0.004674196243286133,0.0029070377349853516,1,7
Rand,0.387,0.2621,1.0,0.6,0.004731416702270508,0.0029070377349853516,1,7
SFE,0.0,0.0,0.0188,0.4,0.0,0.0,1,7
SFD,0.0,0.0,0.6621,0.1,0.0,0.0,1,7
CPF,0.4,0.3071,0.0,0.2,0.006291627883911133,0.00413203239440918,1,8
ICRB,0.3711,0.2694,0.6278,0.3,0.006027936935424805,0.00413203239440918,1,8
STO,0.3925,0.2918,0.2355,0.1,0.005832672119140625,0.00413203239440918,1,8
Rand,0.3999,0.2841,0.3636,0.4,0.005932807922363281,0.00413203239440918,1,8
SFE,0.0,0.0,0.0,0.2,0.0,0.0,1,8
SFD,0.0,0.0,0.6278,0.1,0.0,0.0,1,8
CPF,0.7605,0.5147,0.4913,0.4444,0.0045278072357177734,0.002534151077270508,1,0
ICRB,0.7423,0.5138,0.4972,0.4444,0.004341840744018555,0.002534151077270508,1,0
STO,0.7827,0.4779,0.753,0.1111,0.004181623458862305,0.002534151077270508,1,0
Rand,0.7316,0.4613,0.8843,0.7778,0.004237651824951172,0.002534151077270508,1,0
SFE,0.0,0.0,0.4167,0.2222,0.0,0.0,1,0
SFD,0.0,0.0,0.4167,0.1111,0.0,0.0,1,0
CPF,0.6,0.3677,0.7496,0.6667,0.004788637161254883,0.0027794837951660156,1,1
