,Type,Ratio,Times,gid,k,Number of CPU Cores,Memory Constraints,Isolation Level,Lower Bound,Upper Bound
84,CPF,0.2399,7.0,1,0,2,0.9,3,117.65085645828977,150.22742408326755
85,CPF,0.7175,5.0,1,0,2,0.9,3,186.05637903237837,226.81016724865674
86,CPF,0.6845,8.0,1,0,2,0.9,3,149.56794180608392,182.81820697204208
87,CPF,0.8588,6.0,1,0,2,0.9,3,147.96472541924345,177.88183000144033
88,CPF,0.7747,6.0,1,0,2,0.9,3,143.02006477672288,176.18485882924324
89,CPF,0.6972,8.0,1,0,2,0.9,3,141.77279842303605,175.22581871055655
90,CPF,0.5448,7.0,1,0,2,0.9,3,153.2561241244519,197.86427299525843
91,CPF,0.5319,8.0,1,0,2,0.9,3,163.11601533840735,201.88835783229527
92,CPF,0.8014,6.0,1,0,2,0.9,3,185.97736426221525,227.02952883063878
93,CPF,0.4183,5.0,1,0,2,0.9,3,130.14569034334178,160.78490680431162
94,CPF,0.7333,6.0,1,0,2,0.9,3,160.35641769164988,203.14823259989404
95,CPF,0.4,4.0,1,0,2,0.9,3,123.5671172001733,155.32169617054922
96,CPF,0.5959,5.0,1,0,2,0.9,3,136.25282730258112,164.48472290730354
97,CPF,0.5566,6.0,1,0,2,0.9,3,160.40026719173937,193.14642750352985
98,CPF,0.6311,7.0,1,0,2,0.9,3,136.30667210286265,169.5214867395846
99,CPF,0.6315,9.0,1,0,2,0.9,3,157.89748926921197,184.89799292077623
100,CPF,0.6556,7.0,1,0,2,0.9,3,161.08964000728346,199.0430626917136
101,CPF,0.6791,6.0,1,0,2,0.9,3,130.56801682026486,162.92142686708172
102,CPF,0.6798,7.0,1,0,2,0.9,3,154.6218695635586,184.25485853881273
103,CPF,0.7404,6.0,1,0,2,0.9,3,148.4767533769147,188.38897741470072
104,CPF,0.6389,6.0,1,0,2,0.9,3,135.4171259527963,168.68708595445403
105,CPF,0.6833,6.0,1,0,2,0.9,3,157.87281469828451,190.26922741842768
106,CPF,0.3327,6.0,1,0,2,0.9,3,131.13811203879322,164.52799521466204
107,CPF,0.594,6.0,1,0,2,0.9,3,132.75528942143436,166.47589660800497
108,CPF,0.6237,9.0,1,0,2,0.9,3,148.2757693765874,186.6159549479581
109,CPF,0.5632,7.0,1,0,2,0.9,3,133.30815527035583,164.22918435421133
110,CPF,0.6783,7.0,1,0,2,0.9,3,124.57641025652431,155.10455761037304
111,CPF,0.4824,7.0,1,0,2,0.9,3,143.97180020432316,178.26822911986488
112,CPF,0.6987,5.0,1,0,2,0.9,3,147.79225165058816,182.64972164477055
113,CPF,0.2927,7.0,1,0,2,0.9,3,141.19700222961782,175.53832050325434
114,CPF,0.5469,7.0,1,0,2,0.9,3,144.47480963234995,179.72690879844058
115,CPF,0.6328,7.0,1,0,2,0.9,3,135.38813005868963,164.09104758355343
